Cidade,Estado,Sigla
Acrelândia,Acre,AC
Assis Brasil,Acre,AC
Brasiléia,Acre,AC
Bujari,Acre,AC
Capixaba,Acre,AC
Cruzeiro do Sul,Acre,AC
Epitaciolândia,Acre,AC
Feijó,Acre,AC
Jordão,Acre,AC
Mâncio Lima,Acre,AC
Manoel Urbano,Acre,AC
Marechal Thaumaturgo,Acre,AC
Plácido de Castro,Acre,AC
Porto Acre,Acre,AC
Porto Walter,Acre,AC
Rio Branco,Acre,AC
Rodrigues Alves,Acre,AC
Santa Rosa do Purus,Acre,AC
Sena Madureira,Acre,AC
Senador Guiomard,Acre,AC
Tarauacá,Acre,AC
Xapuri,Acre,AC
