Cidade,Estado,Sigla
São João do Soter,Maranhão,MA
São João dos Patos,Maranhão,MA
São José de Ribamar,Maranhão,MA
São José dos Basílios,Maranhão,MA
São Luís,Maranhão,MA
São Luís Gonzaga do Maranhão,Maranhão,MA
São Mateus do Maranhão,Maranhão,MA
São Pedro da Água Branca,Maranhão,MA
São Pedro dos Crentes,Maranhão,MA
São Raimundo das Mangabeiras,Maranhão,MA
São Raimundo do Doca Bezerra,Maranhão,MA
São Roberto,Maranhão,MA
São Vicente Ferrer,Maranhão,MA
Satubinha,Maranhão,MA
Senador Alexandre Costa,Maranhão,MA
Senador La Rocque,Maranhão,MA
Serrano do Maranhão,Maranhão,MA
Sítio Novo,Maranhão,MA
Sucupira do Norte,Maranhão,MA
Sucupira do Riachão,Maranhão,MA
Tasso Fragoso,Maranhão,MA
Timbiras,Maranhão,MA
Timon,Maranhão,MA
Trizidela do Vale,Maranhão,MA
Tufilândia,Maranhão,MA
Tuntum,Maranhão,MA
Turiaçu,Maranhão,MA
Turilândia,Maranhão,MA
Tutóia,Maranhão,MA
Urbano Santos,Maranhão,MA
Vargem Grande,Maranhão,MA
Viana,Maranhão,MA
Vila Nova dos Martírios,Maranhão,MA
Vitória do Mearim,Maranhão,MA
Vitorino Freire,Maranhão,MA
Zé Doca,Maranhão,MA
